sourceDataSystem,code,sourceDataCode,sourceDataCodeDef,sourceDataField,notes
FMD,Flatworms,1011,Flatworms,SpecieID,only found in FMD no other data system
FMD,Foskett speckled dace,205,Foskett speckled dace,SpecieID,only found in FMD no other data system
FMD,Freshwater drum,257,Freshwater drum,SpecieID,only found in FMD no other data system
FMD,Freshwater mussels,1001,Freshwater mussels,SpecieID,only found in FMD no other data system
FMD,Golden shiner,190,Golden shiner,SpecieID,only found in FMD no other data system
FMD,Golden trout,45,Golden trout,SpecieID,only found in FMD no other data system
FMD,Goldeye,221,Goldeye,SpecieID,only found in FMD no other data system
FMD,Goldfish,91,Goldfish,SpecieID,only found in FMD no other data system
FMD,Goose Lake lamprey,149,Goose Lake lamprey,SpecieID,only found in FMD no other data system
FMD,Goose Lake sucker,131,Goose Lake sucker,SpecieID,only found in FMD no other data system
FMD,Grass carp,104,Grass carp,SpecieID,only found in FMD no other data system
FMD,Grass pickerel,214,Grass pickerel,SpecieID,only found in FMD no other data system
FMD,Great Basin spadefoot,283,Great Basin spadefoot,SpecieID,only found in FMD no other data system
FMD,Green sunfish,109,Green sunfish,SpecieID,only found in FMD no other data system
FMD,Green swordtail,239,Green swordtail,SpecieID,only found in FMD no other data system
FMD,Guppy,237,Guppy,SpecieID,only found in FMD no other data system
FMD,Horsehair worms,1009,Horsehair worms,SpecieID,only found in FMD no other data system
FMD,Hotspring redside shiner,210,Hotspring redside shiner,SpecieID,only found in FMD no other data system
FMD,Hutton tui chub,145,Hutton tui chub,SpecieID,only found in FMD no other data system
FMD,Idaho giant salamander,275,Idaho giant salamander,SpecieID,only found in FMD no other data system
FMD,Inconnu,256,Inconnu,SpecieID,only found in FMD no other data system
FMD,Insects,1006,Insects,SpecieID,only found in FMD no other data system
FMD,Iowa darter,227,Iowa darter,SpecieID,only found in FMD no other data system
FMD,Klamath Lake lamprey,230,Klamath Lake lamprey,SpecieID,only found in FMD no other data system
